method,slice,bucket,mean,ci_low,ci_high,n_users,n_boot
retrieval_score_sort,user_activity,high,0.20235756385068762,0.18271119842829076,0.22331368696791093,1527,2000
retrieval_score_sort,user_activity,low,0.6086175942549371,0.5846798324356672,0.6325553560742071,1671,2000
retrieval_score_sort,user_activity,mid,0.4020296643247463,0.375487900078064,0.4301327088212334,1281,2000
retrieval_score_sort,user_activity,all,0.4110292475999107,0.3962938155838357,0.42598794373744137,4479,2000
retrieval_score_sort,user_activity_ndcg,high,0.07329766167915068,0.065237568918028,0.08172154069603432,1527,2000
retrieval_score_sort,user_activity_ndcg,low,0.2582361923760812,0.2451778353325297,0.2715671718582059,1671,2000
retrieval_score_sort,user_activity_ndcg,mid,0.16016155343742136,0.14772348210626296,0.1728868083015739,1281,2000
retrieval_score_sort,user_activity_ndcg,all,0.16713667264966098,0.1602918714103022,0.17457661335121935,4479,2000
retrieval_score_sort,target_popularity,head,0.4891008174386921,0.4686534968210717,0.5104450499545867,2202,2000
retrieval_score_sort,target_popularity,mid,0.37575757575757573,0.34444444444444444,0.40606060606060607,990,2000
retrieval_score_sort,target_popularity,tail,0.3045843045843046,0.27972027972027974,0.33022533022533024,1287,2000
retrieval_score_sort,target_popularity,all,0.4110292475999107,0.3962938155838357,0.42598794373744137,4479,2000
retrieval_score_sort,target_distance,<100km,0.41594022415940224,0.3823163138231631,0.44831880448318806,803,2000
retrieval_score_sort,target_distance,<1km,0.6168831168831169,0.538961038961039,0.6948051948051948,154,2000
retrieval_score_sort,target_distance,<20km,0.45054945054945056,0.41130298273155413,0.48822605965463106,637,2000
retrieval_score_sort,target_distance,<5km,0.4889705882352941,0.44669117647058826,0.5294117647058824,544,2000
retrieval_score_sort,target_distance,>100km,0.3669372063220846,0.34686031610422896,0.3861704399829132,2341,2000
retrieval_score_sort,target_distance,all,0.4110292475999107,0.3962938155838357,0.42598794373744137,4479,2000
retrieval_score_sort,near_cold_start,low_history,0.6086175942549371,0.5846798324356672,0.6325553560742071,1671,2000
retrieval_score_sort,near_cold_start,rest,0.2934472934472934,0.275997150997151,0.3108974358974359,2808,2000
retrieval_score_sort,near_cold_start,all,0.4110292475999107,0.3962938155838357,0.42598794373744137,4479,2000
ranker_gbdt,user_activity,high,0.3739358218729535,0.3483791748526523,0.3988212180746562,1527,2000
ranker_gbdt,user_activity,low,0.7510472770795931,0.7301017354877319,0.7720077797725912,1671,2000
ranker_gbdt,user_activity,mid,0.5925058548009368,0.565183450429352,0.6206088992974239,1281,2000
ranker_gbdt,user_activity,all,0.5771377539629382,0.5630665327081937,0.5918731859790132,4479,2000
ranker_gbdt,user_activity_ndcg,high,0.19719115191040604,0.18096698785103832,0.21290654790229688,1527,2000
ranker_gbdt,user_activity_ndcg,low,0.44009649669705675,0.4227131751907919,0.45743460867937535,1671,2000
ranker_gbdt,user_activity_ndcg,mid,0.3133061674190524,0.2948991330491778,0.33177253248664346,1281,2000
ranker_gbdt,user_activity_ndcg,all,0.3210219547693186,0.3105864784382465,0.33158310219897674,4479,2000
ranker_gbdt,target_popularity,head,0.4981834695731153,0.4782016348773842,0.5186194368755677,2202,2000
ranker_gbdt,target_popularity,mid,0.5797979797979798,0.5494949494949495,0.6101010101010101,990,2000
ranker_gbdt,target_popularity,tail,0.7101787101787101,0.6852952602952603,0.7350427350427351,1287,2000
ranker_gbdt,target_popularity,all,0.5771377539629382,0.5630665327081937,0.5918731859790132,4479,2000
ranker_gbdt,target_distance,<100km,0.5280199252801993,0.49564134495641343,0.5628891656288917,803,2000
ranker_gbdt,target_distance,<1km,0.5714285714285714,0.4935064935064935,0.6493506493506493,154,2000
ranker_gbdt,target_distance,<20km,0.598116169544741,0.5604395604395604,0.6342229199372057,637,2000
ranker_gbdt,target_distance,<5km,0.5588235294117647,0.5147058823529411,0.5992647058823529,544,2000
ranker_gbdt,target_distance,>100km,0.5929090132422042,0.5715506193934217,0.6117043998291328,2341,2000
ranker_gbdt,target_distance,all,0.5771377539629382,0.5630665327081937,0.5918731859790132,4479,2000
ranker_gbdt,near_cold_start,low_history,0.7510472770795931,0.7301017354877319,0.7720077797725912,1671,2000
ranker_gbdt,near_cold_start,rest,0.47364672364672367,0.45476317663817667,0.4925302706552706,2808,2000
ranker_gbdt,near_cold_start,all,0.5771377539629382,0.5630665327081937,0.5918731859790132,4479,2000
